authors_list,author_bold,journal_name,journal_bold,volume_date,url,url_text,topic_for
"Ho JWK, Giannoulatou E",Ho JWK,Special Issue on Big Data for Biophysical Reviews,Biophysical Reviews,"Volume 11, Issue 1, February 2019",https://link.springer.com/journal/12551/11/1,Big Data,
"Ho JWK, Sohn K-A, Song J, Akutsu T, Ranganathan S, Li J",Ho JWK,Special Issue inBMC Genomics,BMC Genomics,"Volume 20, Supplement 10, December 2019",https://bmcgenomics.biomedcentral.com/articles/supplements/volume-20-supplement-10,Proceedings of the Joint International GIW & ABACBS-2019 Conference: genomics,Proceedings of the Joint International GIW & ABACBS-2019 Conference: genomics
